player,position,number,nat.,url,marketValue
Damián Suárez,Right-Back,22,"['Uruguay', 'Spain']",https://www.transfermarkt.com/damian-suarez/profil/spieler/76746,3.5
Nemanja Maksimovic,Defensive Midfield,20,Serbia,https://www.transfermarkt.com/nemanja-maksimovic/profil/spieler/273152,15.0
Markel Bergara,Defensive Midfield,5,Spain,https://www.transfermarkt.com/markel-bergara/profil/spieler/51426,0.8
Mathieu Flamini,Defensive Midfield,16,France,https://www.transfermarkt.com/mathieu-flamini/profil/spieler/17396,0.6
Mauro Arambarri,Central Midfield,18,Uruguay,https://www.transfermarkt.com/mauro-arambarri/profil/spieler/290249,15.0
Gaku Shibasaki,Central Midfield,10,Japan,https://www.transfermarkt.com/gaku-shibasaki/profil/spieler/129693,2.0
Sebastián Cristóforo,Central Midfield,unknown,"['Uruguay', 'Italy']",https://www.transfermarkt.com/sebastian-cristoforo/profil/spieler/188157,1.8
Amath Ndiaye,Left Winger,unknown,Senegal,https://www.transfermarkt.com/amath-ndiaye/profil/spieler/339820,4.0
Samu Saiz,Left Winger,unknown,Spain,https://www.transfermarkt.com/samu-saiz/profil/spieler/131506,2.0
José Carlos Lazo,Left Winger,unknown,Spain,https://www.transfermarkt.com/jose-carlos-lazo/profil/spieler/282410,1.0
Merveil Ndockyt,Left Winger,unknown,Congo,https://www.transfermarkt.com/merveil-ndockyt/profil/spieler/398886,0.8
Francisco Portillo,Right Winger,8,Spain,https://www.transfermarkt.com/francisco-portillo/profil/spieler/138803,4.0
Iván Alejo,Right Winger,unknown,Spain,https://www.transfermarkt.com/ivan-alejo/profil/spieler/281755,1.2
Rober Ibáñez,Right Winger,unknown,Spain,https://www.transfermarkt.com/rober-ibanez/profil/spieler/242532,1.0
Álvaro Jiménez,Right Winger,unknown,Spain,https://www.transfermarkt.com/alvaro-jimenez/profil/spieler/282406,0.6
Jaime Mata,Centre-Forward,7,Spain,https://www.transfermarkt.com/jaime-mata/profil/spieler/227961,10.0
Sergi Guardiola,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/sergi-guardiola/profil/spieler/256429,5.0
